"dataset","target","shift","method","phi_source","sampler","batch","seed","top1_acc","balanced_acc","csmf_acc"
"PHMRC","AP","mild","bfl_mix","LCVA","gibbs_dir","batch1",1001,0.22508038585209,0.253140142318082,0.414569879037365
"PHMRC","AP","mild","bfl_mix","LCVA","gibbs_dir","batch1",1002,0.270096463022508,0.286143543956044,0.445593546737602
"PHMRC","AP","mild","bfl_mix","LCVA","gibbs_dir","batch1",1003,0.32475884244373,0.288784655579479,0.559428944552717
"PHMRC","AP","mild","bfl_mix","LCVA","gibbs_dir","batch1",1004,0.237942122186495,0.261664106502816,0.413424229457208
"PHMRC","AP","mild","bfl_mix","LCVA","gibbs_dir","batch1",1005,0.282958199356913,0.273378103378103,0.542914000792538
"PHMRC","AP","mild","bfl_mix","LCVA","gibbs_dir","batch1",1006,0.260450160771704,0.241749572425124,0.464819617352316
"PHMRC","AP","mild","bfl_mix","LCVA","gibbs_dir","batch1",1007,0.254019292604502,0.272490170592637,0.454746089874107
"PHMRC","AP","mild","bfl_mix","LCVA","gibbs_dir","batch1",1008,0.327974276527331,0.277279158995214,0.575855990679529
"PHMRC","AP","mild","bfl_mix","LCVA","gibbs_dir","batch1",1009,0.302250803858521,0.294035467893091,0.560902873114564
"PHMRC","AP","mild","bfl_mix","LCVA","gibbs_dir","batch1",1010,0.318327974276527,0.239129180985987,0.574293729016993
"PHMRC","AP","mild","bfl_mix","LCVA","gibbs_dir","batch1",1011,0.347266881028939,0.23531684345797,0.552441967020581
"PHMRC","AP","mild","bfl_mix","LCVA","gibbs_dir","batch1",1012,0.154340836012862,0.246219755556519,0.397908942586877
"PHMRC","AP","mild","bfl_mix","LCVA","gibbs_dir","batch1",1013,0.212218649517685,0.260220538324979,0.420112245899572
"PHMRC","AP","mild","bfl_mix","LCVA","gibbs_dir","batch1",1014,0.241157556270096,0.256152001030297,0.478949558734873
"PHMRC","AP","mild","bfl_mix","LCVA","gibbs_dir","batch1",1015,0.205787781350482,0.250472164001576,0.416215201459106
"PHMRC","AP","mild","bfl_mix","LCVA","gibbs_dir","batch1",1016,0.244372990353698,0.298718722775773,0.453483441520697
"PHMRC","AP","mild","bfl_mix","LCVA","gibbs_dir","batch1",1017,0.186495176848875,0.302215826023392,0.421067926627099
"PHMRC","AP","mild","bfl_mix","LCVA","gibbs_dir","batch1",1018,0.2508038585209,0.339201657674564,0.42730856001754
"PHMRC","AP","mild","bfl_mix","LCVA","gibbs_dir","batch1",1019,0.234726688102894,0.281391344931243,0.440034659485503
"PHMRC","AP","mild","bfl_mix","LCVA","gibbs_dir","batch1",1020,0.318327974276527,0.241582291403932,0.539912137586291
"PHMRC","AP","mild","bfl_mix","LCVA","gibbs_dir","batch1",1021,0.273311897106109,0.25012890335471,0.537122687797827
"PHMRC","AP","mild","bfl_mix","LCVA","gibbs_dir","batch1",1022,0.231511254019293,0.281849415204678,0.484283451639956
"PHMRC","AP","mild","bfl_mix","LCVA","gibbs_dir","batch1",1023,0.331189710610932,0.293215386763774,0.476141311238501
"PHMRC","AP","mild","bfl_mix","LCVA","gibbs_dir","batch1",1024,0.42443729903537,0.321110952159339,0.659672385560036
"PHMRC","AP","mild","bfl_mix","LCVA","gibbs_dir","batch1",1025,0.118971061093248,0.209904527495898,0.329799725004929
"PHMRC","AP","mild","bfl_mix","LCVA","gibbs_dir","batch1",1026,0.19935691318328,0.210900594288752,0.42799549768221
"PHMRC","AP","mild","bfl_mix","LCVA","gibbs_dir","batch1",1027,0.254019292604502,0.230942395910427,0.442218671004459
"PHMRC","AP","mild","bfl_mix","LCVA","gibbs_dir","batch1",1028,0.22508038585209,0.31248092671412,0.439559126835771
"PHMRC","AP","mild","bfl_mix","LCVA","gibbs_dir","batch1",1029,0.260450160771704,0.327155668327145,0.445010297162333
"PHMRC","AP","mild","bfl_mix","LCVA","gibbs_dir","batch1",1030,0.279742765273312,0.304597757414369,0.487783796938188
"PHMRC","Bohol","mild","bfl_mix","LCVA","gibbs_dir","batch1",1001,0.23015873015873,0.205686032074921,0.507469139782009
"PHMRC","Bohol","mild","bfl_mix","LCVA","gibbs_dir","batch1",1002,0.158730158730159,0.166482426303855,0.403282966724301
"PHMRC","Bohol","mild","bfl_mix","LCVA","gibbs_dir","batch1",1003,0.25,0.208535781856195,0.420044163761112
"PHMRC","Bohol","mild","bfl_mix","LCVA","gibbs_dir","batch1",1004,0.119047619047619,0.205928853754941,0.293080881657611
"PHMRC","Bohol","mild","bfl_mix","LCVA","gibbs_dir","batch1",1005,0.198412698412698,0.276905393302154,0.403207084947731
