"dataset","target","shift","method","phi_source","sampler","batch","seed","top1_acc","balanced_acc","csmf_acc"
"PHMRC","AP","mild","bfl_domain","LCVA","gibbs_dir","batch_paper1",1001,0.305711987127916,0.291404149986196,0.514948513287332
"PHMRC","AP","mild","bfl_domain","LCVA","gibbs_dir","batch_paper1",1002,0.477071600965406,0.415961934881595,0.653604657024746
"PHMRC","AP","mild","bfl_domain","LCVA","gibbs_dir","batch_paper1",1003,0.411102172164119,0.330271890504709,0.593156427272085
"PHMRC","AP","mild","bfl_domain","LCVA","gibbs_dir","batch_paper1",1004,0.440868865647627,0.366820619364041,0.587912883008745
"PHMRC","AP","mild","bfl_domain","LCVA","gibbs_dir","batch_paper1",1005,0.371681415929204,0.324781784406558,0.636884345828418
"PHMRC","AP","mild","bfl_domain","LCVA","gibbs_dir","batch_paper1",1006,0.415124698310539,0.36552120461989,0.573207189377214
"PHMRC","AP","mild","bfl_domain","LCVA","gibbs_dir","batch_paper1",1007,0.392598551890587,0.342411158319441,0.605322031892217
"PHMRC","AP","mild","bfl_domain","LCVA","gibbs_dir","batch_paper1",1008,0.410297666934835,0.372742976101261,0.644168063801669
"PHMRC","AP","mild","bfl_domain","LCVA","gibbs_dir","batch_paper1",1009,0.316975060337892,0.341734312443402,0.537968755424849
"PHMRC","AP","mild","bfl_domain","LCVA","gibbs_dir","batch_paper1",1010,0.325824617860016,0.279380407858167,0.576117804010122
"PHMRC","AP","mild","bfl_domain","LCVA","gibbs_dir","batch_paper1",1011,0.399839098954143,0.267165067394294,0.67690291012691
"PHMRC","AP","mild","bfl_domain","LCVA","gibbs_dir","batch_paper1",1012,0.432019308125503,0.409004082571607,0.616401746023619
"PHMRC","AP","mild","bfl_domain","LCVA","gibbs_dir","batch_paper1",1013,0.313757039420756,0.336553701396602,0.492185015188113
"PHMRC","AP","mild","bfl_domain","LCVA","gibbs_dir","batch_paper1",1014,0.319388576025744,0.390811113281126,0.529001801013997
"PHMRC","AP","mild","bfl_domain","LCVA","gibbs_dir","batch_paper1",1015,0.274336283185841,0.282307505483586,0.495143955354644
"PHMRC","AP","mild","bfl_domain","LCVA","gibbs_dir","batch_paper1",1016,0.374094931617056,0.306680755964302,0.675745382351461
"PHMRC","AP","mild","bfl_domain","LCVA","gibbs_dir","batch_paper1",1017,0.355591311343524,0.353402577924053,0.553594681895805
"PHMRC","AP","mild","bfl_domain","LCVA","gibbs_dir","batch_paper1",1018,0.364440868865648,0.359827451404176,0.556349997447992
"PHMRC","AP","mild","bfl_domain","LCVA","gibbs_dir","batch_paper1",1019,0.394207562349155,0.41236989242814,0.622264014607881
"PHMRC","AP","mild","bfl_domain","LCVA","gibbs_dir","batch_paper1",1020,0.423169750603379,0.372377452892024,0.654371258512032
"PHMRC","AP","mild","bfl_domain","LCVA","gibbs_dir","batch_paper1",1021,0.359613837489944,0.268187934709648,0.635186546894194
"PHMRC","AP","mild","bfl_domain","LCVA","gibbs_dir","batch_paper1",1022,0.415929203539823,0.398998429948789,0.703829484775676
"PHMRC","AP","mild","bfl_domain","LCVA","gibbs_dir","batch_paper1",1023,0.460176991150442,0.322461286189002,0.53869731368354
"PHMRC","AP","mild","bfl_domain","LCVA","gibbs_dir","batch_paper1",1024,0.37489943684634,0.327199634595681,0.521233053126162
"PHMRC","AP","mild","bfl_domain","LCVA","gibbs_dir","batch_paper1",1025,0.397425583266291,0.407401202162218,0.584859912322467
"PHMRC","AP","mild","bfl_domain","LCVA","gibbs_dir","batch_paper1",1026,0.282381335478681,0.30032607463133,0.510000956411845
"PHMRC","AP","mild","bfl_domain","LCVA","gibbs_dir","batch_paper1",1027,0.37489943684634,0.327292564102589,0.54996257661453
"PHMRC","AP","mild","bfl_domain","LCVA","gibbs_dir","batch_paper1",1028,0.31053901850362,0.332384918414585,0.527744655647997
"PHMRC","AP","mild","bfl_domain","LCVA","gibbs_dir","batch_paper1",1029,0.379726468222043,0.295967733357867,0.553928280332289
"PHMRC","AP","mild","bfl_domain","LCVA","gibbs_dir","batch_paper1",1030,0.292035398230089,0.287908700910832,0.479955260435755
"PHMRC","Bohol","mild","bfl_domain","LCVA","gibbs_dir","batch_paper1",1001,0.388282025819265,0.352302968514897,0.590852987073201
"PHMRC","Bohol","mild","bfl_domain","LCVA","gibbs_dir","batch_paper1",1002,0.375372393247269,0.363792481006241,0.628743155991318
"PHMRC","Bohol","mild","bfl_domain","LCVA","gibbs_dir","batch_paper1",1003,0.363455809334657,0.369659894474894,0.464957529401479
"PHMRC","Bohol","mild","bfl_domain","LCVA","gibbs_dir","batch_paper1",1004,0.252234359483615,0.273763486569118,0.407074172926189
"PHMRC","Bohol","mild","bfl_domain","LCVA","gibbs_dir","batch_paper1",1005,0.292949354518371,0.30236725542946,0.44817647071131
"PHMRC","Bohol","mild","bfl_domain","LCVA","gibbs_dir","batch_paper1",1006,0.4240317775571,0.33708417499984,0.639299296138653
"PHMRC","Bohol","mild","bfl_domain","LCVA","gibbs_dir","batch_paper1",1007,0.386295928500497,0.374523971027279,0.577396144107612
"PHMRC","Bohol","mild","bfl_domain","LCVA","gibbs_dir","batch_paper1",1008,0.344587884806355,0.349452342988587,0.548348452262365
"PHMRC","Bohol","mild","bfl_domain","LCVA","gibbs_dir","batch_paper1",1009,0.357497517378352,0.383000474676174,0.625974846665868
"PHMRC","Bohol","mild","bfl_domain","LCVA","gibbs_dir","batch_paper1",1010,0.372393247269116,0.299183395036867,0.485980798986409
"PHMRC","Bohol","mild","bfl_domain","LCVA","gibbs_dir","batch_paper1",1011,0.278053624627607,0.363629079649004,0.389566520378761
"PHMRC","Bohol","mild","bfl_domain","LCVA","gibbs_dir","batch_paper1",1012,0.408142999006951,0.397903333366725,0.649811748188774
"PHMRC","Bohol","mild","bfl_domain","LCVA","gibbs_dir","batch_paper1",1013,0.35253227408143,0.33104900318378,0.516691677489319
