"target","variant","cause","domain","lambda"
"AP","BFL_base","Cirrhosis","Mexico",0.203706559359428
"AP","BFL_base","Epilepsy","Mexico",0.247255718295626
"AP","BFL_base","Pneumonia","Mexico",0.00503195610710815
"AP","BFL_base","COPD","Mexico",0.0186919430095874
"AP","BFL_base","Acute Myocardial Infarction","Mexico",0.0389873728654165
"AP","BFL_base","Fires","Mexico",0.1101814040107
"AP","BFL_base","Renal Failure","Mexico",0.043498909211279
"AP","BFL_base","AIDS","Mexico",0.122908986663879
"AP","BFL_base","Lung Cancer","Mexico",0.29332240144582
"AP","BFL_base","Maternal","Mexico",0.00922049036801736
"AP","BFL_base","Drowning","Mexico",0
"AP","BFL_base","Other Cardiovascular Diseases","Mexico",0.0218811853672414
"AP","BFL_base","Other Non-communicable Diseases","Mexico",0.27564676163508
"AP","BFL_base","Falls","Mexico",0.166168806684357
"AP","BFL_base","Stroke","Mexico",0.0231801798916046
"AP","BFL_base","Road Traffic","Mexico",0.186363135201304
"AP","BFL_base","Bite of Venomous Animal","Mexico",0.0962504085667796
"AP","BFL_base","Diabetes","Mexico",0.244584058171356
"AP","BFL_base","Other Infectious Diseases","Mexico",0.0119801202451545
"AP","BFL_base","TB","Mexico",0.019014628709538
"AP","BFL_base","Suicide","Mexico",0.0214701225929939
"AP","BFL_base","Other Injuries","Mexico",0.0375716671724123
"AP","BFL_base","Cervical Cancer","Mexico",0.265338628823883
"AP","BFL_base","Malaria","Mexico",0
"AP","BFL_base","Asthma","Mexico",0.199360974371151
"AP","BFL_base","Diarrhea/Dysentery","Mexico",0.0702481136863527
"AP","BFL_base","Colorectal Cancer","Mexico",0.407620155699138
"AP","BFL_base","Homicide","Mexico",0.281323073007742
"AP","BFL_base","Breast Cancer","Mexico",0.24796835515904
"AP","BFL_base","Leukemia/Lymphomas","Mexico",0.269793583552094
"AP","BFL_base","Poisonings","Mexico",0.0278554771421271
"AP","BFL_base","Prostate Cancer","Mexico",0.33697425249343
"AP","BFL_base","Esophageal Cancer","Mexico",0
"AP","BFL_base","Stomach Cancer","Mexico",0.567289909666606
"AP","BFL_base","Cirrhosis","Bohol",0.0249748246528358
"AP","BFL_base","Epilepsy","Bohol",0.249126685195728
"AP","BFL_base","Pneumonia","Bohol",0.00353913573058869
"AP","BFL_base","COPD","Bohol",0.0109004467639235
"AP","BFL_base","Acute Myocardial Infarction","Bohol",0.0174493707416233
"AP","BFL_base","Fires","Bohol",0.0493007774110459
"AP","BFL_base","Renal Failure","Bohol",0.0193989809406041
"AP","BFL_base","AIDS","Bohol",0
"AP","BFL_base","Lung Cancer","Bohol",0.352952933356888
"AP","BFL_base","Maternal","Bohol",0.00968251908122637
"AP","BFL_base","Drowning","Bohol",0.0197110081490145
