"target","variant","cause","domain","lambda"
"Bohol","BFL_base","Cirrhosis","Mexico",0.613874740616655
"Bohol","BFL_base","Epilepsy","Mexico",0.216364533573517
"Bohol","BFL_base","Pneumonia","Mexico",0.318454207975479
"Bohol","BFL_base","COPD","Mexico",0.304462593310197
"Bohol","BFL_base","Acute Myocardial Infarction","Mexico",0.0835037967526512
"Bohol","BFL_base","Fires","Mexico",0.200977339638766
"Bohol","BFL_base","Renal Failure","Mexico",0.0287695626377134
"Bohol","BFL_base","AIDS","Mexico",0.0946785940177559
"Bohol","BFL_base","Lung Cancer","Mexico",0.805648596055928
"Bohol","BFL_base","Maternal","Mexico",0.0915898329669663
"Bohol","BFL_base","Drowning","Mexico",0
"Bohol","BFL_base","Other Cardiovascular Diseases","Mexico",0.355310051490019
"Bohol","BFL_base","Other Non-communicable Diseases","Mexico",0.187077078279138
"Bohol","BFL_base","Falls","Mexico",0.539841243839319
"Bohol","BFL_base","Stroke","Mexico",0.113864409043364
"Bohol","BFL_base","Road Traffic","Mexico",0.0822825625966789
"Bohol","BFL_base","Bite of Venomous Animal","Mexico",0.320924855016514
"Bohol","BFL_base","Diabetes","Mexico",0.264157559440248
"Bohol","BFL_base","Other Infectious Diseases","Mexico",0.19319860665063
"Bohol","BFL_base","TB","Mexico",0.0266252861066097
"Bohol","BFL_base","Suicide","Mexico",0.0658623558281928
"Bohol","BFL_base","Other Injuries","Mexico",0.178246215953156
"Bohol","BFL_base","Cervical Cancer","Mexico",0.260019089812552
"Bohol","BFL_base","Malaria","Mexico",0
"Bohol","BFL_base","Asthma","Mexico",0.198775507607719
"Bohol","BFL_base","Diarrhea/Dysentery","Mexico",0.0974150762787008
"Bohol","BFL_base","Colorectal Cancer","Mexico",0.438933047061331
"Bohol","BFL_base","Homicide","Mexico",0.711404279397743
"Bohol","BFL_base","Breast Cancer","Mexico",0.615319685202088
"Bohol","BFL_base","Leukemia/Lymphomas","Mexico",0.860466829605687
"Bohol","BFL_base","Poisonings","Mexico",0.179174647707724
"Bohol","BFL_base","Prostate Cancer","Mexico",0.332348802952646
"Bohol","BFL_base","Esophageal Cancer","Mexico",0
"Bohol","BFL_base","Stomach Cancer","Mexico",0.478263250860061
"Bohol","BFL_base","Cirrhosis","AP",0.337681071548912
"Bohol","BFL_base","Epilepsy","AP",0.356059604239427
"Bohol","BFL_base","Pneumonia","AP",0.440589363259284
"Bohol","BFL_base","COPD","AP",0.120360579476458
"Bohol","BFL_base","Acute Myocardial Infarction","AP",0.906373154318816
"Bohol","BFL_base","Fires","AP",0.246747540690643
"Bohol","BFL_base","Renal Failure","AP",0.924717317525393
"Bohol","BFL_base","AIDS","AP",0.792493902318852
"Bohol","BFL_base","Lung Cancer","AP",0.0637195009452053
"Bohol","BFL_base","Maternal","AP",0.499398631096871
"Bohol","BFL_base","Drowning","AP",0.303448103116086
"Bohol","BFL_base","Other Cardiovascular Diseases","AP",0.50552852793303
"Bohol","BFL_base","Other Non-communicable Diseases","AP",0.765781958416988
"Bohol","BFL_base","Falls","AP",0.126575277020698
"Bohol","BFL_base","Stroke","AP",0.783494699931737
"Bohol","BFL_base","Road Traffic","AP",0.832760862236269
"Bohol","BFL_base","Bite of Venomous Animal","AP",0.357926060541945
"Bohol","BFL_base","Diabetes","AP",0.669240820148699
"Bohol","BFL_base","Other Infectious Diseases","AP",0.131979200754415
"Bohol","BFL_base","TB","AP",0.86767731659386
"Bohol","BFL_base","Suicide","AP",0.651648156463436
"Bohol","BFL_base","Other Injuries","AP",0.237122910515468
"Bohol","BFL_base","Cervical Cancer","AP",0.24799947451736
"Bohol","BFL_base","Malaria","AP",0.248406259601803
"Bohol","BFL_base","Asthma","AP",0.21314692738656
"Bohol","BFL_base","Diarrhea/Dysentery","AP",0.279184302414289
"Bohol","BFL_base","Colorectal Cancer","AP",0.283729321856551
"Bohol","BFL_base","Homicide","AP",0.0597102197577016
"Bohol","BFL_base","Breast Cancer","AP",0.0510700403509634
"Bohol","BFL_base","Leukemia/Lymphomas","AP",0.0459221159418213
"Bohol","BFL_base","Poisonings","AP",0.192294923574235
"Bohol","BFL_base","Prostate Cancer","AP",0.330604262140278
"Bohol","BFL_base","Esophageal Cancer","AP",0.482891184892771
"Bohol","BFL_base","Stomach Cancer","AP",0.259200317985976
"Bohol","BFL_base","Cirrhosis","Dar",0.0217609881204416
"Bohol","BFL_base","Epilepsy","Dar",0.216133736185385
"Bohol","BFL_base","Pneumonia","Dar",0.0460710853155917
"Bohol","BFL_base","COPD","Dar",0.0227254771878918
"Bohol","BFL_base","Acute Myocardial Infarction","Dar",0.00425265164763983
"Bohol","BFL_base","Fires","Dar",0.186657850429311
"Bohol","BFL_base","Renal Failure","Dar",0.00966202532057054
"Bohol","BFL_base","AIDS","Dar",0.0677844278016882
"Bohol","BFL_base","Lung Cancer","Dar",0.0639602794712372
"Bohol","BFL_base","Maternal","Dar",0.126050700291356
"Bohol","BFL_base","Drowning","Dar",0.221935197094205
"Bohol","BFL_base","Other Cardiovascular Diseases","Dar",0.0599162345014937
"Bohol","BFL_base","Other Non-communicable Diseases","Dar",0.00918928762556512
"Bohol","BFL_base","Falls","Dar",0.108644431088004
"Bohol","BFL_base","Stroke","Dar",0.0774240873505993
"Bohol","BFL_base","Road Traffic","Dar",0.0447404494517018
"Bohol","BFL_base","Bite of Venomous Animal","Dar",0
"Bohol","BFL_base","Diabetes","Dar",0.0224591323122211
"Bohol","BFL_base","Other Infectious Diseases","Dar",0.120925654910407
"Bohol","BFL_base","TB","Dar",0.0405450274370075
"Bohol","BFL_base","Suicide","Dar",0.0691645006864786
"Bohol","BFL_base","Other Injuries","Dar",0.222788363323185
"Bohol","BFL_base","Cervical Cancer","Dar",0.248663936490928
"Bohol","BFL_base","Malaria","Dar",0.233985233324554
"Bohol","BFL_base","Asthma","Dar",0.19533376680569
"Bohol","BFL_base","Diarrhea/Dysentery","Dar",0.0904501587149583
"Bohol","BFL_base","Colorectal Cancer","Dar",0.277337631082118
"Bohol","BFL_base","Homicide","Dar",0.19186880945456
"Bohol","BFL_base","Breast Cancer","Dar",0.283279843208727
"Bohol","BFL_base","Leukemia/Lymphomas","Dar",0.0483981777425402
"Bohol","BFL_base","Poisonings","Dar",0.175161915782095
