"target","variant","cause","domain","lambda"
"Dar","BFL_base","Cirrhosis","Mexico",0.643295675252462
"Dar","BFL_base","Epilepsy","Mexico",0.239400773288461
"Dar","BFL_base","Pneumonia","Mexico",0.490401555335331
"Dar","BFL_base","COPD","Mexico",0.243108303872549
"Dar","BFL_base","Acute Myocardial Infarction","Mexico",0.501555854414614
"Dar","BFL_base","Fires","Mexico",0.178799892439891
"Dar","BFL_base","Renal Failure","Mexico",0.276655219411175
"Dar","BFL_base","AIDS","Mexico",0.748647816424869
"Dar","BFL_base","Lung Cancer","Mexico",0.591665170271883
"Dar","BFL_base","Maternal","Mexico",0.503516462029465
"Dar","BFL_base","Drowning","Mexico",0
"Dar","BFL_base","Other Cardiovascular Diseases","Mexico",0.27391391239417
"Dar","BFL_base","Other Non-communicable Diseases","Mexico",0.185587233180654
"Dar","BFL_base","Falls","Mexico",0.258148655934521
"Dar","BFL_base","Stroke","Mexico",0.367997572931044
"Dar","BFL_base","Road Traffic","Mexico",0.0064686401418557
"Dar","BFL_base","Bite of Venomous Animal","Mexico",0.24058690505235
"Dar","BFL_base","Diabetes","Mexico",0.0932464272283693
"Dar","BFL_base","Other Infectious Diseases","Mexico",0.0525118798651218
"Dar","BFL_base","TB","Mexico",0.0201001440051727
"Dar","BFL_base","Suicide","Mexico",0.0293894634892321
"Dar","BFL_base","Other Injuries","Mexico",0.189107237558218
"Dar","BFL_base","Cervical Cancer","Mexico",0.952313390198519
"Dar","BFL_base","Malaria","Mexico",0
"Dar","BFL_base","Asthma","Mexico",0.19656721404923
"Dar","BFL_base","Diarrhea/Dysentery","Mexico",0.0651921973495345
"Dar","BFL_base","Colorectal Cancer","Mexico",0.980473984207224
"Dar","BFL_base","Homicide","Mexico",0.181610984613357
"Dar","BFL_base","Breast Cancer","Mexico",0.875618874449684
"Dar","BFL_base","Leukemia/Lymphomas","Mexico",0.308962948746688
"Dar","BFL_base","Poisonings","Mexico",0.169714223104724
"Dar","BFL_base","Prostate Cancer","Mexico",0.333744080635096
"Dar","BFL_base","Esophageal Cancer","Mexico",0
"Dar","BFL_base","Stomach Cancer","Mexico",0.499739273114158
"Dar","BFL_base","Cirrhosis","AP",0.131451985583666
"Dar","BFL_base","Epilepsy","AP",0.286009285793914
"Dar","BFL_base","Pneumonia","AP",0.0348988295485588
"Dar","BFL_base","COPD","AP",0.295708144167682
"Dar","BFL_base","Acute Myocardial Infarction","AP",0.264041769165807
"Dar","BFL_base","Fires","AP",0.299135058798353
"Dar","BFL_base","Renal Failure","AP",0.326559094701298
"Dar","BFL_base","AIDS","AP",0.244580164630566
"Dar","BFL_base","Lung Cancer","AP",0.0998084878757651
"Dar","BFL_base","Maternal","AP",0.00841914113244938
"Dar","BFL_base","Drowning","AP",0.259349346597975
"Dar","BFL_base","Other Cardiovascular Diseases","AP",0.240497066718793
"Dar","BFL_base","Other Non-communicable Diseases","AP",0.202353978623261
"Dar","BFL_base","Falls","AP",0.147521987904431
"Dar","BFL_base","Stroke","AP",0.24499939005667
"Dar","BFL_base","Road Traffic","AP",0.297337259574162
"Dar","BFL_base","Bite of Venomous Animal","AP",0.266296409908691
"Dar","BFL_base","Diabetes","AP",0.066939617283024
"Dar","BFL_base","Other Infectious Diseases","AP",0.0593510577468421
"Dar","BFL_base","TB","AP",0.760740752756443
"Dar","BFL_base","Suicide","AP",0.853140161760512
"Dar","BFL_base","Other Injuries","AP",0.215214284120469
"Dar","BFL_base","Cervical Cancer","AP",0.0146378627320264
"Dar","BFL_base","Malaria","AP",0.326440921841092
"Dar","BFL_base","Asthma","AP",0.217094815394198
"Dar","BFL_base","Diarrhea/Dysentery","AP",0.0890688051163836
"Dar","BFL_base","Colorectal Cancer","AP",0.00960958880009455
"Dar","BFL_base","Homicide","AP",0.241854582622818
"Dar","BFL_base","Breast Cancer","AP",0.0108091951122565
"Dar","BFL_base","Leukemia/Lymphomas","AP",0.227844757309623
"Dar","BFL_base","Poisonings","AP",0.179697797089416
"Dar","BFL_base","Prostate Cancer","AP",0.336277591415923
"Dar","BFL_base","Esophageal Cancer","AP",0.503154861888165
"Dar","BFL_base","Stomach Cancer","AP",0.248098724944333
"Dar","BFL_base","Cirrhosis","Bohol",0.0994547744800225
"Dar","BFL_base","Epilepsy","Bohol",0.235352792361992
"Dar","BFL_base","Pneumonia","Bohol",0.110700870218923
"Dar","BFL_base","COPD","Bohol",0.228112246406029
"Dar","BFL_base","Acute Myocardial Infarction","Bohol",0.121795386141309
"Dar","BFL_base","Fires","Bohol",0.168944512527438
"Dar","BFL_base","Renal Failure","Bohol",0.161053368207856
"Dar","BFL_base","AIDS","Bohol",0
"Dar","BFL_base","Lung Cancer","Bohol",0.208186867856935
"Dar","BFL_base","Maternal","Bohol",0.0112847382663293
"Dar","BFL_base","Drowning","Bohol",0.00485727837606198
"Dar","BFL_base","Other Cardiovascular Diseases","Bohol",0.209697833253274
"Dar","BFL_base","Other Non-communicable Diseases","Bohol",0.0135249401092675
"Dar","BFL_base","Falls","Bohol",0.143541892197322
"Dar","BFL_base","Stroke","Bohol",0.103301531196415
"Dar","BFL_base","Road Traffic","Bohol",0.685837443021192
"Dar","BFL_base","Bite of Venomous Animal","Bohol",0.245277680823052
"Dar","BFL_base","Diabetes","Bohol",0.0419624882424303
"Dar","BFL_base","Other Infectious Diseases","Bohol",0.0738204339287063
"Dar","BFL_base","TB","Bohol",0.0416026232912683
"Dar","BFL_base","Suicide","Bohol",0.0298587574088205
"Dar","BFL_base","Other Injuries","Bohol",0.194012354247248
"Dar","BFL_base","Cervical Cancer","Bohol",0.0187885397278514
"Dar","BFL_base","Malaria","Bohol",0
"Dar","BFL_base","Asthma","Bohol",0.195412414833051
"Dar","BFL_base","Diarrhea/Dysentery","Bohol",0.0605412953865004
"Dar","BFL_base","Colorectal Cancer","Bohol",0.00991642699268185
"Dar","BFL_base","Homicide","Bohol",0.219526239106325
"Dar","BFL_base","Breast Cancer","Bohol",0.1003473239859
"Dar","BFL_base","Leukemia/Lymphomas","Bohol",0.240030747536192
"Dar","BFL_base","Poisonings","Bohol",0.178852127439783
"Dar","BFL_base","Prostate Cancer","Bohol",0.329978327948981
"Dar","BFL_base","Esophageal Cancer","Bohol",0.496845138111835
"Dar","BFL_base","Stomach Cancer","Bohol",0.252162001941509
"Dar","BFL_base","Cirrhosis","Pemba",0
"Dar","BFL_base","Epilepsy","Pemba",0
"Dar","BFL_base","Pneumonia","Pemba",0.327910774303492
"Dar","BFL_base","COPD","Pemba",0
"Dar","BFL_base","Acute Myocardial Infarction","Pemba",0
"Dar","BFL_base","Fires","Pemba",0.169719157894205
"Dar","BFL_base","Renal Failure","Pemba",0
"Dar","BFL_base","AIDS","Pemba",0
"Dar","BFL_base","Lung Cancer","Pemba",0
"Dar","BFL_base","Maternal","Pemba",0.449234771654223
"Dar","BFL_base","Drowning","Pemba",0.72657530882416
"Dar","BFL_base","Other Cardiovascular Diseases","Pemba",0
"Dar","BFL_base","Other Non-communicable Diseases","Pemba",0.592342332221446
"Dar","BFL_base","Falls","Pemba",0.274587371661601
"Dar","BFL_base","Stroke","Pemba",0
"Dar","BFL_base","Road Traffic","Pemba",0.00418278172243792
"Dar","BFL_base","Bite of Venomous Animal","Pemba",0
