"target","variant","cause","domain","lambda"
"Mexico","BFL_base","Cirrhosis","AP",0.211029797803858
"Mexico","BFL_base","Epilepsy","AP",0.314199036842359
"Mexico","BFL_base","Pneumonia","AP",0.0945252594668961
"Mexico","BFL_base","COPD","AP",0.150838341729684
"Mexico","BFL_base","Acute Myocardial Infarction","AP",0.473498136901968
"Mexico","BFL_base","Fires","AP",0.255212970134794
"Mexico","BFL_base","Renal Failure","AP",0.309341653044153
"Mexico","BFL_base","AIDS","AP",0.522632563964061
"Mexico","BFL_base","Lung Cancer","AP",0.240926172026925
"Mexico","BFL_base","Maternal","AP",0.0748194978267726
"Mexico","BFL_base","Drowning","AP",0.232771865325749
"Mexico","BFL_base","Other Cardiovascular Diseases","AP",0.0232095521975723
"Mexico","BFL_base","Other Non-communicable Diseases","AP",0.0706852774570758
"Mexico","BFL_base","Falls","AP",0.716265773226411
"Mexico","BFL_base","Stroke","AP",0.165722845385737
"Mexico","BFL_base","Road Traffic","AP",0.83147672981772
"Mexico","BFL_base","Bite of Venomous Animal","AP",0.340891032213712
"Mexico","BFL_base","Diabetes","AP",0.256415992712525
"Mexico","BFL_base","Other Infectious Diseases","AP",0.0147712955890695
"Mexico","BFL_base","TB","AP",0.509578937715387
"Mexico","BFL_base","Suicide","AP",0.172149439702713
"Mexico","BFL_base","Other Injuries","AP",0.233336199657918
"Mexico","BFL_base","Cervical Cancer","AP",0.0354281017493328
"Mexico","BFL_base","Malaria","AP",0.25356070018936
"Mexico","BFL_base","Asthma","AP",0.236830377429122
"Mexico","BFL_base","Diarrhea/Dysentery","AP",0.213295221897768
"Mexico","BFL_base","Colorectal Cancer","AP",0.451890893848871
"Mexico","BFL_base","Homicide","AP",0.27629327721739
"Mexico","BFL_base","Breast Cancer","AP",0.0321960306359105
"Mexico","BFL_base","Leukemia/Lymphomas","AP",0.0338161731356791
"Mexico","BFL_base","Poisonings","AP",0.206172607870962
"Mexico","BFL_base","Prostate Cancer","AP",0.325862492480699
"Mexico","BFL_base","Esophageal Cancer","AP",0.3170936151626
"Mexico","BFL_base","Stomach Cancer","AP",0.316434069890364
"Mexico","BFL_base","Cirrhosis","Bohol",0.721987835147309
"Mexico","BFL_base","Epilepsy","Bohol",0.273092338905148
