"target","variant","cause","domain","lambda"
"Pemba","BFL_base","Cirrhosis","Mexico",0.198716784800278
"Pemba","BFL_base","Epilepsy","Mexico",0.196753015167241
"Pemba","BFL_base","Pneumonia","Mexico",0.154199217698166
"Pemba","BFL_base","COPD","Mexico",0.310132031505643
"Pemba","BFL_base","Acute Myocardial Infarction","Mexico",0.0595787309417882
"Pemba","BFL_base","Fires","Mexico",0.167283727008087
"Pemba","BFL_base","Renal Failure","Mexico",0.206516878637633
"Pemba","BFL_base","AIDS","Mexico",0.262372664713716
"Pemba","BFL_base","Lung Cancer","Mexico",0.207520503679331
"Pemba","BFL_base","Maternal","Mexico",0.0265679762864964
"Pemba","BFL_base","Drowning","Mexico",0
"Pemba","BFL_base","Other Cardiovascular Diseases","Mexico",0.164538257809247
"Pemba","BFL_base","Other Non-communicable Diseases","Mexico",0.22938328721822
"Pemba","BFL_base","Falls","Mexico",0.06782433983384
"Pemba","BFL_base","Stroke","Mexico",0.0660147435990564
"Pemba","BFL_base","Road Traffic","Mexico",0.0980790438062443
"Pemba","BFL_base","Bite of Venomous Animal","Mexico",0.247103619734778
"Pemba","BFL_base","Diabetes","Mexico",0.0813279015449123
"Pemba","BFL_base","Other Infectious Diseases","Mexico",0.0275353383530453
"Pemba","BFL_base","TB","Mexico",0.0757995752877906
"Pemba","BFL_base","Suicide","Mexico",0.189190558069059
"Pemba","BFL_base","Other Injuries","Mexico",0.0695842381569254
"Pemba","BFL_base","Cervical Cancer","Mexico",0.197601857442899
"Pemba","BFL_base","Malaria","Mexico",0
"Pemba","BFL_base","Asthma","Mexico",0.197594711313953
"Pemba","BFL_base","Diarrhea/Dysentery","Mexico",0.058108586341515
"Pemba","BFL_base","Colorectal Cancer","Mexico",0.256812148780628
"Pemba","BFL_base","Homicide","Mexico",0.175986035812597
"Pemba","BFL_base","Breast Cancer","Mexico",0.203912929019112
"Pemba","BFL_base","Leukemia/Lymphomas","Mexico",0.330881442199279
"Pemba","BFL_base","Poisonings","Mexico",0.200680948937239
"Pemba","BFL_base","Prostate Cancer","Mexico",0.248811889065801
"Pemba","BFL_base","Esophageal Cancer","Mexico",0
"Pemba","BFL_base","Stomach Cancer","Mexico",0.252578051602827
"Pemba","BFL_base","Cirrhosis","AP",0.230225232194413
"Pemba","BFL_base","Epilepsy","AP",0.216624380665315
"Pemba","BFL_base","Pneumonia","AP",0.285144587983658
"Pemba","BFL_base","COPD","AP",0.180894561601128
"Pemba","BFL_base","Acute Myocardial Infarction","AP",0.839747558509729
"Pemba","BFL_base","Fires","AP",0.329157840438511
"Pemba","BFL_base","Renal Failure","AP",0.379145167221894
"Pemba","BFL_base","AIDS","AP",0.355864769498243
"Pemba","BFL_base","Lung Cancer","AP",0.201071868576106
"Pemba","BFL_base","Maternal","AP",0.337604207565008
"Pemba","BFL_base","Drowning","AP",0.450595494525524
"Pemba","BFL_base","Other Cardiovascular Diseases","AP",0.191947289595801
"Pemba","BFL_base","Other Non-communicable Diseases","AP",0.455081952576431
"Pemba","BFL_base","Falls","AP",0.0796712065461974
"Pemba","BFL_base","Stroke","AP",0.691038016551598
"Pemba","BFL_base","Road Traffic","AP",0.179512681707625
"Pemba","BFL_base","Bite of Venomous Animal","AP",0.25482050797153
"Pemba","BFL_base","Diabetes","AP",0.760901126138905
"Pemba","BFL_base","Other Infectious Diseases","AP",0.0266545795735077
"Pemba","BFL_base","TB","AP",0.663010445666319
"Pemba","BFL_base","Suicide","AP",0.223625503693557
"Pemba","BFL_base","Other Injuries","AP",0.343651587337287
