"target","variant","cause","domain","lambda"
"UP","BFL_base","Cirrhosis","Mexico",0.0270411277914372
"UP","BFL_base","Epilepsy","Mexico",0.0664146377140579
"UP","BFL_base","Pneumonia","Mexico",0.284969194871143
"UP","BFL_base","COPD","Mexico",0.341728298515491
"UP","BFL_base","Acute Myocardial Infarction","Mexico",0.035345494421839
"UP","BFL_base","Fires","Mexico",0.0454622273013172
"UP","BFL_base","Renal Failure","Mexico",0.0330260329404961
"UP","BFL_base","AIDS","Mexico",0.101577984899301
"UP","BFL_base","Lung Cancer","Mexico",0.315067168002273
"UP","BFL_base","Maternal","Mexico",0.046211423421502
"UP","BFL_base","Drowning","Mexico",0
"UP","BFL_base","Other Cardiovascular Diseases","Mexico",0.0666990957314311
"UP","BFL_base","Other Non-communicable Diseases","Mexico",0.0304158765619658
"UP","BFL_base","Falls","Mexico",0.0364466302456267
"UP","BFL_base","Stroke","Mexico",0.069278150624717
"UP","BFL_base","Road Traffic","Mexico",0.215752266531781
"UP","BFL_base","Bite of Venomous Animal","Mexico",0.0710595314534766
"UP","BFL_base","Diabetes","Mexico",0.266601035658623
"UP","BFL_base","Other Infectious Diseases","Mexico",0.208950129743814
"UP","BFL_base","TB","Mexico",0.036335473697679
"UP","BFL_base","Suicide","Mexico",0.0464854419991035
"UP","BFL_base","Other Injuries","Mexico",0.183867050720945
"UP","BFL_base","Cervical Cancer","Mexico",0.258623150246429
"UP","BFL_base","Malaria","Mexico",0
"UP","BFL_base","Asthma","Mexico",0.186306197559603
"UP","BFL_base","Diarrhea/Dysentery","Mexico",0.175347063248357
"UP","BFL_base","Colorectal Cancer","Mexico",0.528107359243412
"UP","BFL_base","Homicide","Mexico",0.183244491332115
"UP","BFL_base","Breast Cancer","Mexico",0.293174783942371
"UP","BFL_base","Leukemia/Lymphomas","Mexico",0.418422461572621
"UP","BFL_base","Poisonings","Mexico",0.0578441530163015
"UP","BFL_base","Prostate Cancer","Mexico",0.264094144395053
"UP","BFL_base","Esophageal Cancer","Mexico",0
"UP","BFL_base","Stomach Cancer","Mexico",0.259381855679232
"UP","BFL_base","Cirrhosis","AP",0.930665552242116
"UP","BFL_base","Epilepsy","AP",0.79480755272879
"UP","BFL_base","Pneumonia","AP",0.59956105805217
"UP","BFL_base","COPD","AP",0.375319098790499
"UP","BFL_base","Acute Myocardial Infarction","AP",0.957914728642892
"UP","BFL_base","Fires","AP",0.860418468914457
"UP","BFL_base","Renal Failure","AP",0.955964757983271
"UP","BFL_base","AIDS","AP",0.87514161266795
"UP","BFL_base","Lung Cancer","AP",0.229882598877929
"UP","BFL_base","Maternal","AP",0.897740163458204
"UP","BFL_base","Drowning","AP",0.583887468118996
"UP","BFL_base","Other Cardiovascular Diseases","AP",0.85127306728826
"UP","BFL_base","Other Non-communicable Diseases","AP",0.920578229745881
"UP","BFL_base","Falls","AP",0.0742459474996776
"UP","BFL_base","Stroke","AP",0.904569894096172
"UP","BFL_base","Road Traffic","AP",0.56461155274761
"UP","BFL_base","Bite of Venomous Animal","AP",0.855926574563371
"UP","BFL_base","Diabetes","AP",0.518704139091307
"UP","BFL_base","Other Infectious Diseases","AP",0.211973774117114
"UP","BFL_base","TB","AP",0.874755276808365
"UP","BFL_base","Suicide","AP",0.880637811390864
"UP","BFL_base","Other Injuries","AP",0.266607002505247
"UP","BFL_base","Cervical Cancer","AP",0.247168955466499
"UP","BFL_base","Malaria","AP",0.372251896438371
"UP","BFL_base","Asthma","AP",0.239839114070932
"UP","BFL_base","Diarrhea/Dysentery","AP",0.302653704798159
"UP","BFL_base","Colorectal Cancer","AP",0.162221607800533
"UP","BFL_base","Homicide","AP",0.563070492718437
"UP","BFL_base","Breast Cancer","AP",0.22716941946359
"UP","BFL_base","Leukemia/Lymphomas","AP",0.197247892022924
"UP","BFL_base","Poisonings","AP",0.784425124229466
"UP","BFL_base","Prostate Cancer","AP",0.244883202443835
"UP","BFL_base","Esophageal Cancer","AP",0.335604150262675
"UP","BFL_base","Stomach Cancer","AP",0.243572764106305
"UP","BFL_base","Cirrhosis","Bohol",0.0220210904547982
"UP","BFL_base","Epilepsy","Bohol",0.0658545688262955
"UP","BFL_base","Pneumonia","Bohol",0.032451058363205
"UP","BFL_base","COPD","Bohol",0.14271764320961
"UP","BFL_base","Acute Myocardial Infarction","Bohol",0.00335182437034545
"UP","BFL_base","Fires","Bohol",0.0310030245210575
"UP","BFL_base","Renal Failure","Bohol",0.00583972298339639
"UP","BFL_base","AIDS","Bohol",0
"UP","BFL_base","Lung Cancer","Bohol",0.229091972318076
"UP","BFL_base","Maternal","Bohol",0.00544868532358003
"UP","BFL_base","Drowning","Bohol",0.00768443061479665
"UP","BFL_base","Other Cardiovascular Diseases","Bohol",0.0406242551392469
"UP","BFL_base","Other Non-communicable Diseases","Bohol",0.00833615359571676
"UP","BFL_base","Falls","Bohol",0.0137958851977327
"UP","BFL_base","Stroke","Bohol",0.0108021860145295
"UP","BFL_base","Road Traffic","Bohol",0.0710266503690535
"UP","BFL_base","Bite of Venomous Animal","Bohol",0.0730138939831522
"UP","BFL_base","Diabetes","Bohol",0.0468870428171177
"UP","BFL_base","Other Infectious Diseases","Bohol",0.192987897842952
"UP","BFL_base","TB","Bohol",0.027010770923721
"UP","BFL_base","Suicide","Bohol",0.0242735378650332
"UP","BFL_base","Other Injuries","Bohol",0.182218188212349
"UP","BFL_base","Cervical Cancer","Bohol",0.247078385818784
"UP","BFL_base","Malaria","Bohol",0
"UP","BFL_base","Asthma","Bohol",0.189096618292978
